movie_id,title,genres,original_language,overview,production_companies,release_date,runtime,vote_average,vote_count,credits,keywords,poster_path
11,Scream VI,Horror-Mystery-Thriller,en,Following the latest Ghostface killings the four survivors leave Woodsboro behind and start a fresh chapter.,Radio Silence-Project X Entertainment-Spyglass Media Group-Paramount,08-03-2023,123,7.4,1007,Melissa Barrera-Jenna Ortega-Jasmin Savoy Brown-Mason Gooding-Roger Jackson-Courteney Cox-Dermot Mulroney-Jack Champion-Josh Segarra-Liana Liberato-Devyn Nekoda-Hayden Panettiere-Skeet Ulrich-Tony Revolori-Samara Weaving-Matthew Giuffrida-Andre Anthony-Henry Czerny-Thomas Cadrot-Barry Morgan-Chanel Mings-Erika Prevost-Jesse Camacho-Jenna Wheeler-Hughes-Mizinga Mwinga-AndrÃ© BÃ©dard-CÃ©leste DubÃ©-Eric Davis-Lydia Zadel-Elizabeth Neale-Justin Johnson-Stephane Ishmael-Max Laferriere-Jack Quaid-Jason Cavalier-Thom Newell-Tim Robinson-Akiva Schaffer,new york city-mask-trauma-halloween-college-fake identity-sequel-revenge-public murder-murder-gore-serial killer-conspiracy theory-social commentary-police corruption-slasher-whodunit-multiple stabbings-brutality-killing spree-self-referential-crime spree-aftercreditsstinger-sisterhood-movie fan-copycat killer-masked villain-stabbed to death-sister sister relationship-fbi agent-post credit scene-masked killer,https://image.tmdb.org/t/p/w500/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg
12,The Eighth Clause,Thriller,la,Kat and Borja appear to be a perfect couple but as in every marriage they keep secrets lies and infidelities that will come to light the night an unexpected visitor arrives.,SDB Films-El Hombre Orquesta,29-04-2022,-,4.6,10,Maite Perroni-Manuel Vega-Ã“scar Jaenada-Jessica Coch-Paulina DÃ¡vila-Christian Meier-Michel Duval-Mario TardÃ³n,-,https://image.tmdb.org/t/p/w500/8tc8eMFAX2SDC1TRu987qFQy8Cl.jpg
13,Puss in Boots: The Last Wish,Animation-Adventure-Comedy-Family,en,Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.,DreamWorks Animation-Universal Pictures,07-12-2022,103,8.363,4671,Antonio Banderas-Salma Hayek-Harvey GuillÃ©n-Wagner Moura-Florence Pugh-Olivia Colman-Ray Winstone-Samson Kayo-John Mulaney-Da'Vine Joy Randolph-Anthony Mendez-Kevin McCann-Bernardo de Paula-Betsy Sodaro-Artemis Pebdani-Conrad Vernon-Cody Cameron-Kailey Crawford-Al Rodrigo-Bob Persichetti-Miguel Matrai-Pilar Uribe-Heidi Gardner-Joel Crawford-Januel Mercado-James Ryan-Natalia Cronembold-Paul Fisher-Aydrea Walden,fairy tale-talking dog-spin off-aftercreditsstinger-talking cat-fear of death,https://image.tmdb.org/t/p/w500/kuf6dutpsT0vSVehic3EZIqkOBt.jpg
14,Evil Dead Rise,Horror-Thriller,en,Two sisters find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.,New Line Cinema-Ghost House Pictures-Renaissance Pictures-Pacific Renaissance Pictures-Wild Atlantic Pictures-Warner Bros. Pictures,12-04-2023,96,6.992,241,Lily Sullivan-Alyssa Sutherland-Morgan Davies-Gabrielle Echols-Nell Fisher-Anna-Maree Thomas-Mirabai Pease-Richard Crouchley-Jayden Daniels-Mark Mitchinson-Tai Wano-Billy Reynolds-McCarthy-Noah Paul-Melissa Xiao-Bruce Campbell,sibling relationship-earthquake-pregnancy-sequel-gore-los angeles california-demon-evil-necronomicon-reboot-demonic possession-motherhood-sisterhood-sister sister relationship-body horror-apartment-graphic violence,https://image.tmdb.org/t/p/w500/mIBCtPvKZQlxubxKMeViO2UrP3q.jpg
15,John Wick: Chapter 4,Action-Thriller-Crime,en,With the price on his head ever increasing John Wick uncovers a path to defeating The High Table. But before he can earn his freedom Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.,Thunder Road-87Eleven-Summit Entertainment-Studio Babelsberg,22-03-2023,170,8.002,1007,Keanu Reeves-Donnie Yen-Bill SkarsgÃ¥rd-Ian McShane-Laurence Fishburne-Lance Reddick-Clancy Brown-Hiroyuki Sanada-Shamier Anderson-Rina Sawayama-Scott Adkins-AimÃ©e Kwan-Marko Zaror-Natalia Tena-George Georgiou-Vhelma Richardson-Jackey Mishra-Brahim Achabbakhe-Selman Iyi-Lous and the Yakuza-Daiki Suzuki-Yoshinori Tashiro-Hiroki Sumi-Julia  Asuka Riedl-Milena RendÃ³n-Ivy Quainoo-Irina Trifanov-Iryna Fedorova-Raicho Vasilev-Andrej Kaminsky-Robert Bess-Mako SanjÅ-Sven Marquardt,new york city-martial arts-hitman-sequel-organized crime-osaka japan-aftercreditsstinger-hunted-professional assassin-neo-noir-berlin,https://image.tmdb.org/t/p/w500/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg
16,Lord of the Streets,Action,en,When Jason Dyson refuses to make his prized fighter throw an MMA match a notorious gangster collects his debt by killing the fighter and kidnapping Jason's daughter. Now he must train a prisoner to endure five consecutive underground fights to save her.,Mutiny Films,22-04-2022,85,4.9,29,Treach-Quinton Jackson-Khalil Rountree Jr.-Anderson Silva-Richard Grieco-A.J. McKee-Gigi Gustin-Meredith Thomas-Ashley Doris-Frankie Cullen-Rigan Machado-Michelle Ng-Sean Berube-Hana Giraldo-Jesse O'Neill-Derek Ocampo-Michael Gier-Jarrid Masse-Ted Sterner-Keith Sutliff-Edward Stasik-Niki J. Crawford-C.J. Gibson-Joseph W. Evans-Ryan Gangl-Charlit Dae-Ayhan Tongadur-Jubal Ace Kohn-Leigh Pollitt-Daniel L. Rivera-Dom Poniac-Angelo Baxter-Ty Lewis-Fatih Ugurlu-Chanda Am-Jacques Mordoki-Ed Nathan Mecate-Mike Joslin-Eric Shanker-Sonni Blak-Andres Castillo,-,https://image.tmdb.org/t/p/w500/n9YWVQRc0zw0nwrFcOkOpffZxjc.jpg
17,A Man Called Otto,Comedy-Drama,en,When a lively young family moves in next door grumpy widower Otto Anderson meets his match in a quick-witted pregnant woman named Marisol leading to an unlikely friendship that turns his world upside down.,Playtone-SF Studios-2DUXÂ²-Stage 6 Films-Artistic Films-STX Entertainment,28-12-2022,126,7.811,540,Tom Hanks-Mariana TreviÃ±o-Rachel Keller-Manuel Garcia-Rulfo-Cameron Britton-Kailey Hyman-Mike Birbiglia-Elle Chapman-Joe Fishel-Truman Hanks-Juanita Jennings-Kelly Lamor Wilson-John Higgins-Tony Bingham-Lily Kozub-Mack Bayda-Peter Lawson Jones-Max Pavel-Peter Sipla-Patrick Stanny-Allyson R. Hood-Carl Clemons-Connor McCanlus-Kristy Nolen-Dominick Marrone-Cindy Jackson-Christiana Montoya-Alessandra Perez-Bodhi Wilson-Ira Amyx-Greg Allan Martin-Elle Chapman-Bryant Carroll-Julian Manjerico-Jon Donahue-Gina Aponte,based on novel or book-suicide attempt-remake-miscarriage-new neighbor-mourning-forced retirement-death of wife-bus accident-grumpy man-transgender character-flashbacks,https://image.tmdb.org/t/p/w500/130H1gap9lFfiTF9iDrqNIkFvC9.jpg
18,Huesera: The Bone Woman,Drama-Horror-Mystery,es,Valeria's joy at becoming a first-time mother is quickly taken away when she's cursed by a sinister entity. As danger closes in she's forced deeper into a chilling world of dark magic that threatens to consume her.,Disruptiva Films-Machete Producciones-Maligno Gorehouse-Terminal,10-02-2023,93,6.58,75,Natalia SoliÃ¡n-Alfonso Dosal-Mayra Batalla-Mercedes HernÃ¡ndez-Aida LÃ³pez-Martha Claudia Moreno-Enoc LeaÃ±o-Pablo Guisa Koestinger-Sonia Couoh-Samantha Castillo-AnahÃ­ Allue-Gabriela Velarde,pregnant woman-woman director,https://image.tmdb.org/t/p/w500/7NhG3NClQ1xrc3kEwTiwFht5Y3L.jpg
19,Dungeons & Dragons: Honor Among Thieves,Adventure-Fantasy-Comedy,en,A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic but things go dangerously awry when they run afoul of the wrong people.,Entertainment One-Paramount-Allspark Pictures-Sierra/Affinity,23-03-2023,134,7.554,819,Chris Pine-Michelle Rodriguez-RegÃ©-Jean Page-Justice Smith-Sophia Lillis-Hugh Grant-Daisy Head-Chloe Coleman-Jason Wong-Bradley Cooper-Hayley-Marie Axe-Ian Hanmore-Paul Bazely-Kenneth Collard-Richie Wilson-Philip Brodie-Michael Redmond-Daniel Campbell-Sharon Blynn-Jude Hill-Niamh McCormack-Anton Simpson-Tidy-Edd Osmond-Fionnlagh Allan-Jeanne Nicole NÃ­ Ãinle-Richard Croxford-Rylee Neilly-Large-Rylan Jackson-Richard Hall-Clayton Grover-Emer McDaid-Broden Kelly-Zachary Ruane-Mark Bonanno-Kyle Hixon-Spencer Wilding-Will Irvine-Nicholas Blane-Bryan Larkin-Sarah Amankwah-Colin Carnegie-Georgia Landers-Sophia Nell Huntley-San Shella-Barry O'Connor-Avril Murphy-Neil Stoddart-Adam Behan-Dan Poole-Natali Servat-Paul Bazely-Darren Kent-Claude Starling-Paul Lancaster-Appy Pratt-David Durham-Harriet Barrow-Justice Ritchie-Adrian Christopher-Richard Hall-Luke Bennett-Moe Sasegbon-Trevor Kaneswaran-Seamus O'Hara-Edgar Abram-Tom Morello-R.F. Daley-David Sobolov-Jeff Bottoms-David Stanbra-Matthew Waterson-John Francis Daley-KIm Chapman-Tom Mason Duffy-Mark Epstein-Garry Harper-Gavin Lee Lewis-Laura Przybilla-Aidan Rhys-Gordon Tarpley,platonic love-gang of thieves-role playing game-based on video game-dungeons and dragons-heist gone wrong-duringcreditsstinger-father daughter relationship-spell & sorcery-wizardry,https://image.tmdb.org/t/p/w500/v7UF7ypAqjsFZFdjksjQ7IUpXdn.jpg
20,Narvik,War-Drama-History-Action,no,April 1940. The eyes of the world are on Narvik a small town in northern Norway a source of the iron ore needed for Hitler's war machine. Through two months of fierce winter warfare the German leader is dealt with his first defeat.,Nordisk Film Norway,25-12-2022,108,7,195,Kristine Cornelie M. Hartgen-Carl Martin EggesbÃ¸-Christoph Gelfert Mathiesen-Henrik Mestad-Mathilde Holtedahl Cuhra-Stig Henrik Hoff-Kari Bremnes-Christoph Bach-Billy Campbell-Holger Handtke-Magnus Dugdale-Edvard Lie Aalstad-Ã˜yvind TrÃ¸ite-Torfinn Nag-Isak Bakli Aglen-Emil Johnsen-Ole Christopher Holth-PhÃ©nix Brossard-Carsten Brocker-Johannes Kurt Schultz-Benjamin Noble-Ã˜yvind MÃ¸rk-Leif Arno Hofheinz-Niels Lian Mildes-GÃ¸ran Lian Mildes-BjÃ¸rn Iversen-Anders Wang-Tom Espen Pedersen-Roy Boquist Hestdahl-JÃ¸rn Magnus Karlsen-Lars Oddmund Sandvik-Morten Skillingstad Larsen-Jon Egil Ramslie-Dennis Vareide,winter-world war ii-based on true story-bombing-young girl,https://image.tmdb.org/t/p/w500/gU4mmINWUF294Wzi8mqRvi6peMe.jpg
21,Ghosted,Romance-Action-Comedy,en,Salt-of-the-earth Cole falls head over heels for enigmatic Sadie â€” but then makes the shocking discovery that sheâ€™s a secret agent. Before they can decide on a second date Cole and Sadie are swept away on an international adventure to save the world.,Skydance Media-Apple Studios,18-04-2023,120,7.272,425,Chris Evans-Ana de Armas-Adrien Brody-Mike Moh-Tate Donovan-Amy Sedaris-Lizze Broadway-Mustafa Shakir-Anthony Mackie-John Cho-Sebastian Stan-Ryan Reynolds-Anna Deavere Smith-Tim Blake Nelson-Tiya Sircar-Stephen Park-Humza Shabazz-Burn Gorman-Marwan Kenzari-Israel Vaughan-Victoria Garcia-Kelleher-Jordan Blair Mangold Brown-Zane Shaw-Stephanie Weis-Dexter Fletcher,secret agent,https://image.tmdb.org/t/p/w500/liLN69YgoovHVgmlHJ876PKi5Yi.jpg
22,Diabolik - Ginko all'attacco!,Crime-Action,it,Diabolik nearly gets caught in Inspector Ginko's latest trap leaving his partner in crime Eva Kant behind in the escape. Furious Eva offers Ginko her help in capturing the King of Terror but the former has to face the return of an old flame of his: Altea Duchess of Vallenberg.,Mompracem-Astorina S.A.C.-Emilia-Romagna Film Commission-RAI Cinema,17-11-2022,111,5.7,79,Giacomo Gianniotti-Miriam Leone-Valerio Mastandrea-Monica Bellucci-Alessio Lapice-Linda Caridi-Pier Giorgio Bellocchio-Ester Pantano-Andrea Roncato-Amanda Campana-Urbano Barberini-Giacomo Giorgio-Simone Leonardi-Pierangelo Menci-Marco Bonadei-G-Max-Gustavo Frigerio-Diodato,comic book-master thief-based on comic-gentleman thief-woman scorned-blast from the past-diabolik,https://image.tmdb.org/t/p/w500/8QVbWBv94BAT9u1q9uJccwOxMzt.jpg
